APN,MINORITY_OWNED,FEMALE_OWNED,RECORDID,BUSDESC,B1_PER_SUB_TYPE,DBA,NAICS,TAX_CODE,EMPLOYEE_NUM,BUS_OWN_TYPE,B1_STATE,B1_FULL_ADDRESS,B1_SITUS_STATE
055 184202800,No,Yes,BL-027397,RESIDENTIAL RENTAL PROPERTY-3 UNITS,Rental of Real Property,HAMMOND STANLEY & SHARON,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Partnership,CA,2515   REGENT ST,CA
061 261301700,No,No,BL-013785,BOOK SALES M&P,Retail Trade,WILSON MARK A,453110 - Florists,R,1.0,Sole Ownership,CA,927   ENSENADA AVE,CA
053 159903100,No,No,BL-019768,RESIDENTIAL RENTAL 6 UNITS,Rental of Real Property,KURDYS DOUGLAS,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Partnership,CA,2907   M L KING JR WAY,CA
ZZZZZZZZZZZZZ,Yes,No,BL-000022,GENERAL CONTRACTOR - RESIDENTIAL,Construction or Contractor,M AND D HOME IMPROVEMENT,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,0.0,Partnership,CA,0 VARIOUS,CA
054 171600100,,,BL-005139,PSYCHOLOGIST,Professional SemiProfessional,JANE HANSEN,621330 - Offices of Mental Health Practitioners (except Physicians),P,1.0,Sole Ownership,CA,2730 TELEGRAPH AVE,CA
,,,BL-009085,MEDICAL SERVICES,Professional SemiProfessional,CALIFORNIA POST-ACUTE MEDICAL GROUP1 INC,621111 - Offices of Physicians (except Mental Health Specialists),P,6.0,Corporation,DE,0 VARIOUS,CA
055 187502600,Yes,No,BL-038460,CLOTHING & GIFTS STORE,Retail Trade,GYPSY TRADER,448120 - Women's Clothing Stores,R,1.0,Sole Ownership,CA,2485   TELEGRAPH AVE,CA
ZZZZZZZZZZZZZ,No,No,BL-011225,ELECTRICAL CONTRACTOR,Construction or Contractor,ROBERTS ELECTRIC CO INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,15.0,Sole Ownership,CA,0   VARIOUS,CA
057 207001200,No,No,BL-041379,NON PROFIT JOB TRAINING PROGRAM,Non Profit Organizations,THE BREAD PROJECT,624310 - Vocational Rehabilitation Services,N,9.0,Corporation,CA,1615 UNIVERSITY AVE,CA
054 172002400,No,No,BL-009724,DOG SERVICES,Business Personal Repair Svs,TAREK BARNES,812910 - Pet Care (except Veterinary) Services,B,1.0,Sole Ownership,CA,2128 WARD ST,CA
ZZZZZZZZZZZZZ,,,BL-010289,MEXICAN FOOD PRODUCTS,Wholesale Trade,MARQUEZ BROTHERS INTERNATIONAL INC,424490 - Other Grocery and Related Products Merchant Wholesalers,W,2.0,Corporation,CA,0 VARIOUS,CA
052 157401404,,,BL-002302,NEUROLOGY PRACTICE,Professional SemiProfessional,GAIL A KANG MD,621111 - Offices of Physicians (except Mental Health Specialists),P,4.0,Sole Ownership,CA,3000 COLBY ST 305,CA
,,,BL-003877,ENVIRONMENTAL CONSULTING SERVICES,Professional SemiProfessional,TERRACON CONSULTANTS INC,541620 - Environmental Consulting Services,P,2.0,Corporation,KS,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-009967,"ELECTRICAL INSTALLS, REMODELS, ECT",Construction or Contractor,ADVANCED ELECTRICAL & TELCOM INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-036577,TREE SERVICE COMPANY,Business Personal Repair Svs,GRAHAM TREE SERVICE,561730 - Landscaping Services,B,7.0,Corporation,CA,0   VARIOUS,CA
059 226001900,Yes,Yes,BL-014405,COMMERCIAL PROPERTY RENTAL,Rental of Real Property,WARD DAWN D,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,4.0,Sole Ownership,CA,1525   SHATTUCK AVE,CA
,,,BL-002225,RETAIL BAKED GOODS,Retail Trade,DORA'S PIES,311811 - Retail Bakeries,R,4.0,Corporation,CA,1966 UNIVERSITY AVE,CA
ZZZZZZZZZZZZZ,,,BL-008576,REMODELING CONTRACTOR,Construction or Contractor,VIZCON CONSTRUCTION COMPANY INC,236118 - Residential Remodelers,C,4.0,Corporation,CA,0 VARIOUS,CA
,No,No,BL-002907,CONSTRUCTION/REMODELING,Construction or Contractor,"FIDO PROPERTY SERVICES, INC.",236210 - Industrial Building Construction,C,1.0,Corporation,CA,0 VARIOUS,CA
,,,BL-004107,GENERAL CONSTUCTION,Construction or Contractor,SUNRISE CONSTRUCTION,236116 - New Multifamily Housing Construction (except For-Sale Builders),C,0.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-005306,DOG WALKING & PET SITTING,Business Personal Repair Svs,TRAVELERS PET CARE LLC,812990 - All Other Personal Services,B,2.0,LLC,CA,0 VARIOUS,CA
057 206000100,,,BL-007823,COFFEE & FOOD,Retail Trade,CAFE NOSTOS,722511 - Full-Service Restaurants,R,0.0,Corporation,CA,1930 M L KING JR WAY,CA
055 189700103,No,No,BL-005705,COMMERCIAL RENTAL,Rental of Real Property,SHATTUCK WICKS PARTNERSHIP LTD,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,Partnership,CA,2480   SHATTUCK AVE,CA
ZZZZZZZZZZZZZ,,,BL-012567,INSTALLING GAS & ELECTRIC SERVICE,Construction or Contractor,MBS ENGINEEERING INC,237120 - Oil and Gas Pipeline and Related Structures Construction,C,11.0,Corporation,CA,0 VARIOUS,CA
060 235100106,,,BL-005033,FINANCIAL SERVICES TECHNOLOGY AND CONTENT PROVIDER,Professional SemiProfessional,"PLURIBUS LABS, LLC",541519 - Other Computer Related Services,P,7.0,LLC,CA,950 GILMAN ST 800,CA
,,,BL-003351,ROOFING CONTRACTOR,Construction or Contractor,R P C ROOFING CO,238160 - Roofing Contractors,C,2.0,Sole Ownership,CA,0 VARIOUS,CA
,Yes,No,BL-048772,RESIDENTIAL RENTAL PROPERTY-4 UNITS,Rental of Real Property,KIM JOSEPH,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2010   CHANNING WAY,CA
ZZZZZZZZZZZZZ,,,BL-012235,PLUMBING,Construction or Contractor,PAVEL'S PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0 VARIOUS,CA
052 157400800,No,Yes,BL-004241,RESIDENTIAL RENTAL 4 UNITS,Rental of Real Property,ENSLER YAFA,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2407   DOWLING PL,CA
057 205801100,No,Yes,BL-010955,COUNSELING,Professional SemiProfessional,ROBERTS SUSAN,624190 - Other Individual and Family Services,P,1.0,Sole Ownership,CA,1903   BERKELEY WAY,CA
053 159900600,Yes,Yes,BL-005698,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,SHIPPEN PAUL G & DUSDEE V/SHIPPEN AUDRA N,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2908   OTIS ST,CA
,,,BL-009494,BUILDING MAINTENANCE,Business Personal Repair Svs,TILLER PROPERTY MAINTENANCE,812990 - All Other Personal Services,B,4.0,Sole Ownership,CA,0 VARIOUS,CA
053 160001800,,,BL-012145,HYPNOSIS,Professional SemiProfessional,LILY ZHOU'S HYPNOSIS,621399 - Offices of All Other Miscellaneous Health Practitioners,P,0.0,Sole Ownership,CA,1853 ASHBY AVE,CA
,,,BL-009177,GENERAL CONSTRUCTION,Construction or Contractor,MAGNUM CONSTRUCTION GROUP INC,236118 - Residential Remodelers,C,1.0,Corporation,CA,0 VARIOUS,CA
056 193201201,Yes,Yes,BL-019761,RESIDENTIAL RENTAL 4 PLEX,Rental of Real Property,WAINWRIGHT MARY L,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2453   TENTH ST,CA
061 260204401,No,Yes,BL-010278,BOOKSTORE,Retail Trade,PEGASUS,451211 - Book Stores,R,11.0,Corporation,CA,1855   SOLANO AVE,CA
,,,BL-006580,INTERIOR PLANT SERVICE,Business Personal Repair Svs,INSIGHT INTERIORSCAPES,561790 - Other Services to Buildings and Dwellings,B,0.0,Sole Ownership,CA,0 VARIOUS,CA
062 289304200,No,No,BL-035385,CONSULTING,Professional SemiProfessional,AUGUSTYN & COMPANY,541690 - Other Scientific and Technical Consulting Services,P,1.0,Corporation,CA,609   SANTA ROSA AVE,CA
,No,No,BL-004880,LIQUOR & GROCERIES,Retail Trade,BOB'S LIQUOR & DELI,"445310 - Beer, Wine, and Liquor Stores",R,2.0,Partnership,CA,2842 SACRAMENTO ST,CA
064 423501210,No,Yes,BL-011070,RESTAURANT,Retail Trade,"RICK & ANN'S RESTAURANT, INC",722211,R,0.0,Sole Ownership,CA,2922   DOMINGO AVE,CA
ZZZZZZZZZZZZZ,Yes,No,BL-048283,TAXI/VEHICLE FOR HIRE,Auto Vehicle For Hire,UNION CAB TAXI SERVICE/OWNER,485310 - Taxi Service,A,0.0,Sole Ownership,CA,0   VARIOUS,CA
055 187000800,No,No,BL-010879,APARTMENTS 28 APTS,Rental of Real Property,RIDEOUT APARTMENTS,531110 - Lessors of Residential Buildings and Dwellings,L,4.0,Partnership,CA,2701   DURANT AVE,CA
ZZZZZZZZZZZZZ,,,BL-007050,CONSTRUCTION,Construction or Contractor,PITRE CONSTRUCTION,236118 - Residential Remodelers,C,4.0,Sole Ownership,CA,0 VARIOUS,CA
060 241000500,No,No,BL-048231,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,SAN PABLO COMMERICAL PROP,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,LLC,CA,1197   SAN PABLO AVE,CA
052 153100700,,,BL-008716,BAR - BREW PUB,Retail Trade,HOI POLLOI BREWING,722410 - Drinking Places (Alcoholic Beverages),R,5.0,Corporation,CA,1763 ALCATRAZ AVE,CA
061 257800900,No,No,BL-049809,COOKING & SALE OF GRANOLA,Retail Trade,TOM'S BEST EVER GRANOLA,311811 - Retail Bakeries,R,4.0,Sole Ownership,CA,77   SAN MATEO RD,CA
ZZZZZZZZZZZZZ,No,No,BL-000449,ALARM COMPANY,Construction or Contractor,JOHNSON CONTROLS SECURITY SOLUTION LLC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2.0,LLC,FL,0   VARIOUS,CA
,,,BL-006150,COMMERCIAL CLEANING OF BUILDINGS,Business Personal Repair Svs,AG'S PROFESSIONAL JANITORIAL SERVICE,561720 - Janitorial Services,B,2.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-009022,RESIDENTIAL ELECTRIC REPAIR,Construction or Contractor,AAA ELECTRICAL SERVICES INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,8.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-007811,RESIDENTIAL CONTRACTOR,Construction or Contractor,BOYDEN CONSTRUCTION INC,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-053452,SOFTWARE SALES/SUPPORT,Manufacturing,INTEGRATED TIME SYSTEMS LLC,334518,M,6.0,Corporation,WI,0   VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-012602,DESIGN AGENCY,Professional SemiProfessional,KATE SAKER INC,541490 - Other Specialized Design Services,P,1.0,Corporation,CA,0 VARIOUS,CA
057 211602003,No,No,BL-022910,FOOD PRODUCTS,Wholesale Trade,SPORT STREET MARKETING,424210 - Drugs and Druggists' Sundries Merchant Wholesalers,W,60.0,Corporation,CA,1609 FOURTH ST,CA
,Yes,No,BL-000530,CONCRETE REPAIR,Construction or Contractor,RMJ CONCRETE,236118 - Residential Remodelers,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
060 235600804,,,BL-006706,BIOTECHNOLOGY RES & DEV,Professional SemiProfessional,LYGOS INC,541711 - Research and Development in Biotechnology,P,32.0,Corporation,CA,1249 EIGHTH ST,CA
ZZZZZZZZZZZZZ,No,No,BL-039687,RADIANT HEATING,Construction or Contractor,ERAN GETRAIDE,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0   VARIOUS,CA
061 261402400,,,BL-004378,THAI RESTAURANT,Retail Trade,SWEET BASIL THAI,722511 - Full-Service Restaurants,R,8.0,LLC,CA,1736 SOLANO AVE,CA
054 174400201,Yes,No,BL-005080,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,MELVIN FERREIRA TRUST,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,Sole Ownership,CA,1030   CARLETON ST,CA
055 190201500,Yes,Yes,BL-010486,RENTAL 8 ROOMS,Rental of Real Property,PABROS E E Z,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,Sole Ownership,CA,2450   M L KING JR WAY,CA
ZZZZZZZZZZZZZ,Yes,No,BL-040946,PLUMBING CONTRACTOR,Construction or Contractor,OCELOT PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0   VARIOUS,CA
056 198201600,No,No,BL-044558,ARTIST STUDIO,Entertainment Recreation,ROLAND & SCHNEIDER STUDIO,"711510 - Independent Artists, Writers, and Performers",E,0.0,Sole Ownership,CA,1109   COWPER ST,CA
053 166101501,No,No,BL-008695,LOUD SPEAKERS MAGNETIC,Manufacturing,MEYER SOUND LABORATORIES INC,334310 - Audio and Video Equipment Manufacturing,M,52.0,Corporation,CA,2832   SAN PABLO AVE,CA
058 217901300,Yes,No,BL-002504,RENTAL PROPERTY RESIDENTIAL 4,Rental of Real Property,CHEN FRANK & MARY,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1694   OXFORD ST,CA
,,,BL-003713,HVAC CONTRACTOR,Construction or Contractor,FULLER MECHANICAL,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0.0,Sole Ownership,CA,0 VARIOUS,CA
052 152701800,,,BL-009616,HAIR SALON,Business Personal Repair Svs,VISIONS HAIR STUDIO,812112 - Beauty Salons,B,1.0,Sole Ownership,CA,1834 ALCATRAZ AVE,CA
059 234800102,No,No,BL-028411,CONSULTING MECHANICAL,Professional SemiProfessional,BERKELEY ENG AND RESEARCH INC,541330 - Engineering Services,P,10.0,Corporation,CA,808   GILMAN ST,CA
,No,No,BL-030676,C0LLECTIVE LEGAL SERVICES,Non Profit Organizations,COLLECTIVE LEGAL SERVICES CORP,541199 - All Other Legal Services,N,8.0,Corporation,CA,0   VARIOUS,CA
,,,BL-004251,DRYWALL INSTALLATION,Construction or Contractor,ADVANTAGE DRYWALL  INC,238310 - Drywall and Insulation Contractors,C,10.0,Corporation,CA,0 VARIOUS,CA
052 155100300,No,No,BL-032564,RESIDENTIAL RENTAL - 3 UNITS,Rental of Real Property,NEUMANN THOMAS O,531110 - Lessors of Residential Buildings and Dwellings,L,2.0,Sole Ownership,CA,1840   WOOLSEY ST,CA
055 184503600,,,BL-010521,DECLUTTERING & ORGANIZING MEETS DESIGNING/STYLING,Business Personal Repair Svs,THE NEAT PLACE,812990 - All Other Personal Services,B,0.0,Sole Ownership,CA,2604 COLLEGE AVE,CA
056 197800802,,,BL-009109,RESTAURANT,Retail Trade,CAFE V EL PATIO INC,722511 - Full-Service Restaurants,R,8.0,LLC,CA,2056 SAN PABLO AVE,CA
052 157305102,,,BL-040770,GENERAL CONTRACTOR,Construction or Contractor,R C ALLEN CONSTRUCTION,236118 - Residential Remodelers,C,0.0,Corporation,CA,2999   REGENT ST,CA
,Yes,No,BL-052722,GLAZING CONTRACTOR,Construction or Contractor,WINDOWS DOORS AND MORE,238990 - All Other Specialty Trade Contractors,C,1.0,Sole Ownership,CA,0   VARIOUS,CA
052 155501302,,,BL-008460,"WAXING SALON & JEWELRY, CANDLES & WAXING PRODUCTS",Business Personal Repair Svs,BLEU HONEY,812112 - Beauty Salons,B,2.0,Partnership,CA,3115 SHATTUCK AVE,CA
057 205300100,Yes,Yes,BL-047855,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,JLLJAR LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,LLC,CA,1950   SHATTUCK AVE,CA
,,,BL-005499,GENERAL CONTRACTOR,Construction or Contractor,BOLEY CONSTRUCTION,236118 - Residential Remodelers,C,4.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-005416,"EVENT MANAGEMENT SERVICES, DEVELOP, DESIGN & EXECUTE",Entertainment Recreation,MOMENTOUS EVENTS BY DESIGN,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities",E,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-031430,ELECTRICAL CONTRACTOR,Construction or Contractor,"COLUMBIA ELECTRIC, INC.",238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0.0,Corporation,CA,0   VARIOUS,CA
057 209701401,,,BL-010712,MASSAGE THERAPIST,Massage,ZHENG CANYONG,812199 - Other Personal Care Services,BM,0.0,Sole Ownership,CA,811 UNIVERSITY AVE 204,CA
ZZZZZZZZZZZZZ,No,No,BL-040744,PAVING-CONSTRUCTION,Construction or Contractor,EUROPEAN PAVING DESIGNS INC,238990 - All Other Specialty Trade Contractors,C,5.0,Corporation,CA,0   VARIOUS,CA
053 163300200,,,BL-006718,PLUMBING SUPPLIES,Wholesale Trade,GENERAL PLUMBING SUPPLY CO (ASHBY PLUMBING),423720 - Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,W,6.0,Corporation,CA,1000 ASHBY AVE,CA
ZZZZZZZZZZZZZ,No,No,BL-037181,ENVIR CONTRACTOR,Professional SemiProfessional,GETTLER-RYAN INC,541620 - Environmental Consulting Services,P,2.0,Corporation,CA,0   VARIOUS,CA
,,,BL-002372,ELECTRICAL - MATERIALS AND LABOR,Construction or Contractor,"CAN DO ELECTRIC, INC",238210 - Electrical Contractors and Other Wiring Installation Contractors,C,41.0,Corporation,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,,,BL-010561,CONTRACTOR,Construction or Contractor,AMERISERVE REPIPING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2.0,Corporation,CA,0 VARIOUS,CA
052 154000501,Yes,No,BL-038464,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,PEREZ JOSE & GRACIELA,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,Sole Ownership,CA,3136   SACRAMENTO ST,CA
060 241101106,,,BL-012545,LICENSED MASSAGE THERAPIST & CERTIFIED YOGA TEACHER OFFERING MASSAGE THERAPY & PRIVATE YOGA LESSONS,Massage,REN BODY THERAPY & YOGA,621399 - Offices of All Other Miscellaneous Health Practitioners,BM,1.0,Sole Ownership,CA,1283 GILMAN ST,CA
ZZZZZZZZZZZZZ,No,No,BL-000370,INSULATION/ROOFING CONTRACTOR,Construction or Contractor,ALCAL SPECIALTY CONTRACTING INC,238160 - Roofing Contractors,C,2.0,Corporation,CA,0   VARIOUS,CA
057 208602903,Yes,No,BL-000349,DETAIL SHOP,Business Personal Repair Svs,ALBERTY DETAIL SHOP,811192 - Car Washes,B,1.0,Sole Ownership,CA,1809   SAN PABLO AVE,CA
,,,BL-002298,HOME INSULATION,Construction or Contractor,ALL SEASONS INSULATION,238310 - Drywall and Insulation Contractors,C,3.0,Sole Ownership,CA,0 VARIOUS,CA
055 184802400,No,No,BL-003198,RESIDENTIAL RENTAL TRIPLEX,Rental of Real Property,CAPRONI ROBERT J & JOYCE,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2619   COLLEGE AVE,CA
,No,No,BL-009596,NON PROF_RES REHAB,Non Profit Organizations,NEW BRIDGE FOUNDATION,623220 - Residential Mental Health and Substance Abuse Facilities,N,21.0,Corporation,CA,1820   SCENIC AVE,CA
055 188901700,Yes,No,BL-041938,RESIDENTIAL RENTAL PROPERTY-10 UNITS,Rental of Real Property,CHU MICHAEL H & JESSICA H,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,2214   HASTE ST,CA
,,,BL-002070,GENERAL CONTRACTOR,Construction or Contractor,BELZ CONSTRUCTION INC.,236220 - Commercial and Institutional Building Construction,C,2.0,Corporation,CA,0 VARIOUS,CA
,,,BL-003393,ELECTRICAL CONTRACTOR,Construction or Contractor,LE LIGHTING & ELECTRIC SERVICES MAINTENANCE REPAIR,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0.0,Sole Ownership,CA,0 VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-034298,GENERAL & PAINTING CONTRACTOR,Construction or Contractor,ERSCH CONSTRUCTION,238320 - Painting and Wall Covering Contractors,C,0.0,Sole Ownership,CA,0   VARIOUS,CA
,,,BL-003360,ELECTRICAL CONTRACTOR,Construction or Contractor,SAGE ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,5.0,Corporation,CA,0 VARIOUS,CA
055 184002401,No,No,BL-051819,PHARMACY,Retail Trade,GARFIELD BEACH CVS LLC #10121,446110 - Pharmacies and Drug Stores,R,24.0,LLC,RI,2655   TELEGRAPH AVE,CA
052 157303100,No,No,BL-024827,PERIODONTIC OFFICE,Professional SemiProfessional,CHERTOK KEITH R DDS,621210 - Offices of Dentists,P,7.0,Sole Ownership,CA,2620   ASHBY AVE,CA
ZZZZZZZZZZZZZ,,,BL-007336,PUBLIC WORKS CONSTRUCTION,Construction or Contractor,EMPIRE ENGINEERING & CONSTRUCTION INC,"237310 - Highway, Street, and Bridge Construction",C,20.0,Corporation,CA,0 VARIOUS,CA
052 156706800,No,No,BL-041557,HAIR STYLIST,Business Personal Repair Svs,STUDIO SEVENTY SEVEN,812112 - Beauty Salons,B,1.0,Sole Ownership,CA,2969 COLLEGE AVE,CA
ZZZZZZZZZZZZZ,,,BL-011685,GENERAL CONSTRUCTION,Construction or Contractor,B K B CONSTRUCTION L P,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,40.0,Partnership,TX,0 VARIOUS,CA
059 225401302,No,No,BL-034010,COMPUTER PROGRAMMING,Professional SemiProfessional,CREAVA INC,541511 - Custom Computer Programming Services,P,1.0,Corporation,CA,1438   ARCH ST,CA
,,,BL-003576,FURNISH & INSTALL REINFORCING STEEL,Construction or Contractor,HARRIS REBAR NORTHERN CALIFORNIA INC,238120 - Structural Steel and Precast Concrete Contractors,C,4.0,Corporation,CA,0 VARIOUS,CA
056 196301506,No,No,BL-000613,ADMINISTRATIVE HEADQUARTERS,Administrative Headquarters,KLEERWEST LLC,561110 - Office Administrative Services,Q,3.0,LLC,CA,1809 FOURTH ST D,CA
ZZZZZZZZZZZZZ,Yes,Yes,BL-051966,DEOMOLITION CONTRACTOR,Construction or Contractor,V E M GENERAL ENGINEERING INC,238910 - Site Preparation Contractors,C,8.0,Corporation,CA,0   VARIOUS,CA
055 187502600,No,Yes,BL-047403,HAIR SALON & RETAIL SUPPLY,Business Personal Repair Svs,MAXI CUT,812112 - Beauty Salons,B,2.0,Sole Ownership,CA,2489   TELEGRAPH AVE,CA
ZZZZZZZZZZZZZ,,,BL-008398,KITCHEN & BATH REMODEL,Construction or Contractor,FEENEY COMPANY,236118 - Residential Remodelers,C,0.0,Corporation,CA,0 VARIOUS,CA
056 194401801,No,No,BL-006302,ARCHITECT,Professional SemiProfessional,HATTAM JOHN ROLF,541310 - Architectural Services,P,0.0,Sole Ownership,CA,737   DWIGHT WAY,CA
059 234400700,No,No,BL-001864,COMMERCIAL RENTAL OFFICES/STORES,Rental of Real Property,BERKELEY FORGE & TOOL,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,100.0,Corporation,CA,1331   EASTSHORE HWY,CA
060 235001106,,,BL-004112,"ELECTRICAL REPAIR SERVICE, STORAGE & SCHEDULING DESK",Construction or Contractor,BERKELEY ELECTRIC INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,8.0,Corporation,CA,909 CAMELIA ST,CA
053 163501101,No,No,BL-054207,WAREHOUSE - STORAGE PIANOS,Retail Trade,D.C. PIANO COMPANY,451140 - Musical Instrument and Supplies Stores,R,0.0,Partnership,CA,753   FOLGER AVE,CA
058 216902400,No,Yes,BL-003386,RESIDENTIAL RENTAL-TRIPLEX,Rental of Real Property,COURTNEY BREDA,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1910   FRANCISCO ST,CA
052 154801400,No,No,BL-051863,RENTAL PROPERTY,Rental of Real Property,MALAEB ASHRAF A,531110 - Lessors of Residential Buildings and Dwellings,L,0.0,Sole Ownership,CA,1815   FAIRVIEW ST,CA
055 188701000,No,No,BL-019688,RESIDENTIAL RENTAL 8 UNITS,Rental of Real Property,REDDY L B ETAL,531110 - Lessors of Residential Buildings and Dwellings,L,1.0,LLC,CA,2215   CHANNING WAY,CA
ZZZZZZZZZZZZZ,,,BL-011680,ELECTRICAL CONTRACTOR,Construction or Contractor,THORNTON ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,3.0,Corporation,CA,0 VARIOUS,CA
055 189201301,Yes,No,BL-040858,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,EASTBOROUGH PROPERTIES LP,531312 - Nonresidential Property Managers,L,0.0,Partnership,CA,2397   SHATTUCK AVE,CA
056 194600604,Yes,No,BL-048399,RESTAURANT,Retail Trade,VIK'S CHAAT CORNER LLC,722211,R,30.0,LLC,CA,2390   FOURTH ST B,CA
053 169101601,Yes,No,BL-009697,DENTIST,Professional SemiProfessional,MICHAEL F GRISANTI III DDS,621210 - Offices of Dentists,P,4.0,Sole Ownership,CA,2855   TELEGRAPH AVE 103,CA
,No,No,BL-045479,OFFICE EQUIPMENT SALES & SERVICE,Retail Trade,CANON SOLUTIONS AMERICA INC,443120,R,0.0,Corporation,NJ,0   VARIOUS,CA
ZZZZZZZZZZZZZ,No,No,BL-013928,ELECTRICAL CONTRACTOR,Construction or Contractor,WILLIAMS ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0.0,Corporation,CA,0   VARIOUS,CA
054 172001900,Yes,Yes,BL-014646,COMMERCIAL PROPERTY,Rental of Real Property,SHATTUCK PROPERTIES LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0.0,LLC,CA,2100   WARD ST,CA
061 257504300,,,BL-002003,PSYCHOTHERAPY,Professional SemiProfessional,DEBORAH KROW MFT,621330 - Offices of Mental Health Practitioners (except Physicians),P,0.0,Sole Ownership,CA,919 THE ALAMEDA,CA
055 186901901,No,No,BL-047676,FOOTBALL PARKING,Non Profit Organizations,BSC WOLF HOUSE,812990 - All Other Personal Services,N,25.0,Corporation,CA,2732   DURANT AVE,CA
,,,BL-009470,DESIGN & INSTALL FIRE SPRINKLER,Construction or Contractor,ACCEL FIRE PROCTECTION SERVICES,238910 - Site Preparation Contractors,C,2.0,Sole Ownership,CA,0 VARIOUS,CA
,,,BL-004774,ENVIRONMENTAL AND PLANNING CONSULTING SERVICES,Professional SemiProfessional,DOUGLAS HERRING & ASSOCIATES,541620 - Environmental Consulting Services,P,1.0,Sole Ownership,CA,0 VARIOUS,CA
,Yes,No,BL-002354,"GENERAL CONTRACTOR - GARAGE, ROOF, & REPAIRS",Construction or Contractor,DD CONSTRUCTION,236118 - Residential Remodelers,C,2.0,Partnership,CA,0 VARIOUS,CA
057 212100100,No,Yes,BL-000438,SUPPORT STAFF FOR INDEPENDENT LIVING,Administrative Headquarters,LEMMONS PORTIA A,561110 - Office Administrative Services,Q,7.0,Sole Ownership,CA,2175 KITTREDGE ST 420,CA
,Yes,Yes,BL-005021,DENTIST,Professional SemiProfessional,MEETA M DOSHI DDS PDC,621210 - Offices of Dentists,P,10.0,Corporation,CA,2999   REGENT ST 406,CA
